FID,Id,dem,dist
0,0,4.239999771,0
1,0,4.260000229,0.5
2,0,4.210000038,1
3,0,4.210000038,1.5
4,0,4.239999771,2
5,0,4.239999771,2.5
6,0,4.230000019,3
7,0,4.230000019,3.5
8,0,4.230000019,4
9,0,4.230000019,4.5
10,0,4.260000229,5
11,0,4.260000229,5.5
12,0,4.28000021,6
13,0,4.28000021,6.5
14,0,4.25,7
15,0,4.25,7.5
16,0,4.269999981,8
17,0,4.269999981,8.5
18,0,4.28000021,9
19,0,4.28000021,9.5
20,0,4.300000191,10
21,0,4.300000191,10.5
22,0,4.269999981,11
23,0,4.269999981,11.5
24,0,4.269999981,12
25,0,4.289999962,12.5
26,0,4.289999962,13
27,0,4.320000172,13.5
28,0,4.320000172,14
29,0,4.349999905,14.5
30,0,4.349999905,15
31,0,4.320000172,15.5
32,0,4.320000172,16
33,0,4.340000153,16.5
34,0,4.340000153,17
35,0,4.340000153,17.5
36,0,4.340000153,18
37,0,4.349999905,18.5
38,0,4.349999905,19
39,0,4.369999886,19.5
40,0,4.369999886,20
41,0,4.380000114,20.5
42,0,4.380000114,21
43,0,4.369999886,21.5
44,0,4.380000114,22
45,0,4.380000114,22.5
46,0,4.380000114,23
47,0,4.400000095,23.5
48,0,4.400000095,24
49,0,4.400000095,24.5
50,0,4.400000095,25
51,0,4.389999866,25.5
52,0,4.449999809,26
53,0,4.440000057,26.5
54,0,4.440000057,27
55,0,4.440000057,27.5
56,0,4.440000057,28
57,0,4.429999828,28.5
58,0,4.429999828,29
59,0,4.429999828,29.5
60,0,4.400000095,30
61,0,4.440000057,30.5
62,0,4.440000057,31
63,0,4.440000057,31.5
64,0,4.409999847,32
65,0,4.409999847,32.5
66,0,4.380000114,33
67,0,4.380000114,33.5
68,0,4.409999847,34
69,0,4.449999809,34.5
70,0,4.420000076,35
71,0,4.420000076,35.5
72,0,4.429999828,36
73,0,4.429999828,36.5
74,0,4.380000114,37
75,0,4.380000114,37.5
76,0,4.400000095,38
77,0,4.400000095,38.5
78,0,4.429999828,39
79,0,4.429999828,39.5
80,0,4.440000057,40
81,0,4.440000057,40.5
82,0,4.409999847,41
83,0,4.409999847,41.5
84,0,4.409999847,42
85,0,4.409999847,42.5
86,0,4.429999828,43
87,0,4.429999828,43.5
88,0,4.409999847,44
89,0,4.409999847,44.5
90,0,4.420000076,45
91,0,4.420000076,45.5
92,0,4.400000095,46
93,0,4.400000095,46.5
94,0,4.400000095,47
95,0,4.449999809,47.5
96,0,4.449999809,48
97,0,4.440000057,48.5
98,0,4.440000057,49
99,0,4.449999809,49.5
