FID,Id,dem,dist
0,0,2.809999943,0
1,0,2.779999971,0.5
2,0,2.779999971,1
3,0,2.779999971,1.5
4,0,2.779999971,2
5,0,2.799999952,2.5
6,0,2.799999952,3
7,0,2.799999952,3.5
8,0,2.799999952,4
9,0,2.779999971,4.5
10,0,2.779999971,5
11,0,2.779999971,5.5
12,0,2.779999971,6
13,0,2.769999981,6.5
14,0,2.769999981,7
15,0,2.769999981,7.5
16,0,2.769999981,8
17,0,2.819999933,8.5
18,0,2.819999933,9
19,0,2.819999933,9.5
20,0,2.819999933,10
21,0,2.799999952,10.5
22,0,2.799999952,11
23,0,2.799999952,11.5
24,0,2.849999905,12
25,0,2.849999905,12.5
26,0,2.849999905,13
27,0,2.849999905,13.5
28,0,2.849999905,14
29,0,2.849999905,14.5
30,0,2.849999905,15
31,0,2.849999905,15.5
32,0,2.849999905,16
33,0,2.849999905,16.5
34,0,2.839999914,17
35,0,2.839999914,17.5
36,0,2.839999914,18
37,0,2.839999914,18.5
38,0,2.829999924,19
39,0,2.829999924,19.5
40,0,2.829999924,20
41,0,2.829999924,20.5
42,0,2.809999943,21
43,0,2.839999914,21.5
44,0,2.839999914,22
45,0,2.839999914,22.5
46,0,2.829999924,23
47,0,2.829999924,23.5
48,0,2.829999924,24
49,0,2.829999924,24.5
50,0,2.849999905,25
51,0,2.849999905,25.5
52,0,2.849999905,26
53,0,2.849999905,26.5
54,0,2.859999895,27
55,0,2.859999895,27.5
56,0,2.859999895,28
57,0,2.859999895,28.5
58,0,2.839999914,29
59,0,2.839999914,29.5
60,0,2.839999914,30
61,0,2.869999886,30.5
62,0,2.880000114,31
63,0,2.880000114,31.5
64,0,2.880000114,32
65,0,2.880000114,32.5
66,0,2.869999886,33
67,0,2.869999886,33.5
68,0,2.869999886,34
69,0,2.869999886,34.5
70,0,2.880000114,35
71,0,2.880000114,35.5
72,0,2.880000114,36
73,0,2.880000114,36.5
74,0,2.880000114,37
75,0,2.849999905,37.5
76,0,2.849999905,38
77,0,2.849999905,38.5
78,0,2.849999905,39
79,0,2.859999895,39.5
80,0,2.880000114,40
81,0,2.880000114,40.5
82,0,2.880000114,41
83,0,2.880000114,41.5
84,0,2.880000114,42
85,0,2.880000114,42.5
86,0,2.880000114,43
87,0,2.880000114,43.5
88,0,2.880000114,44
89,0,2.880000114,44.5
90,0,2.880000114,45
91,0,2.880000114,45.5
92,0,2.880000114,46
93,0,2.880000114,46.5
94,0,2.880000114,47
95,0,2.890000105,47.5
96,0,2.890000105,48
97,0,2.890000105,48.5
98,0,2.920000076,49
99,0,2.920000076,49.5
100,0,2.920000076,50
101,0,2.920000076,50.5
102,0,2.920000076,51
103,0,2.930000067,51.5
104,0,2.930000067,52
105,0,2.930000067,52.5
106,0,2.930000067,53
107,0,2.920000076,53.5
108,0,2.920000076,54
109,0,2.920000076,54.5
110,0,2.920000076,55
111,0,2.910000086,55.5
112,0,2.910000086,56
113,0,2.910000086,56.5
114,0,2.910000086,57
115,0,2.910000086,57.5
116,0,2.920000076,58
117,0,2.940000057,58.5
118,0,2.940000057,59
119,0,2.940000057,59.5
120,0,2.960000038,60
121,0,2.960000038,60.5
122,0,2.960000038,61
123,0,2.960000038,61.5
124,0,2.960000038,62
125,0,2.960000038,62.5
126,0,2.960000038,63
127,0,2.960000038,63.5
128,0,2.970000029,64
129,0,2.970000029,64.5
130,0,2.970000029,65
131,0,2.970000029,65.5
132,0,2.980000019,66
133,0,2.980000019,66.5
134,0,2.980000019,67
135,0,2.980000019,67.5
136,0,3.00999999,68
137,0,3.00999999,68.5
138,0,3.00999999,69
139,0,3.00999999,69.5
140,0,3.039999962,70
141,0,3.039999962,70.5
142,0,3.039999962,71
143,0,3.039999962,71.5
144,0,3.049999952,72
145,0,3.049999952,72.5
146,0,3.049999952,73
147,0,3.049999952,73.5
148,0,3.079999924,74
149,0,3.079999924,74.5
150,0,3.079999924,75
151,0,3.079999924,75.5
152,0,3.079999924,76
153,0,3.079999924,76.5
154,0,3.109999895,77
155,0,3.109999895,77.5
156,0,3.119999886,78
157,0,3.119999886,78.5
158,0,3.119999886,79
159,0,3.119999886,79.5
160,0,3.119999886,80
161,0,3.180000067,80.5
162,0,3.180000067,81
163,0,3.180000067,81.5
164,0,3.180000067,82
165,0,3.25,82.5
166,0,3.25,83
167,0,3.25,83.5
168,0,3.25,84
169,0,3.380000114,84.5
170,0,3.380000114,85
171,0,3.380000114,85.5
172,0,3.380000114,86
173,0,3.339999914,86.5
174,0,3.339999914,87
175,0,3.339999914,87.5
176,0,3.339999914,88
177,0,3.299999952,88.5
178,0,3.299999952,89
179,0,3.299999952,89.5
180,0,3.299999952,90
181,0,3.190000057,90.5
182,0,3.190000057,91
183,0,3.190000057,91.5
184,0,3.190000057,92
185,0,3.180000067,92.5
186,0,3.180000067,93
187,0,3.180000067,93.5
188,0,3.180000067,94
189,0,3.180000067,94.5
190,0,3.180000067,95
191,0,3.210000038,95.5
192,0,3.210000038,96
193,0,3.279999971,96.5
194,0,3.279999971,97
195,0,3.279999971,97.5
196,0,3.279999971,98
197,0,3.25,98.5
198,0,3.25,99
199,0,3.25,99.5
200,0,3.25,100
201,0,3.25,100.5
202,0,3.25,101
203,0,3.25,101.5
204,0,3.25,102
205,0,3.25,102.5
206,0,3.269999981,103
207,0,3.269999981,103.5
208,0,3.269999981,104
209,0,3.269999981,104.5
210,0,3.269999981,105
211,0,3.269999981,105.5
212,0,3.269999981,106
213,0,3.269999981,106.5
214,0,3.299999952,107
215,0,3.299999952,107.5
216,0,3.299999952,108
217,0,3.299999952,108.5
