FID,Id,dem,dist
0,0,3.349999905,0
1,0,3.390000105,0.5
2,0,3.390000105,1
3,0,3.380000114,1.5
4,0,3.380000114,2
5,0,3.390000105,2.5
6,0,3.390000105,3
7,0,3.369999886,3.5
8,0,3.369999886,4
9,0,3.380000114,4.5
10,0,3.380000114,5
11,0,3.380000114,5.5
12,0,3.380000114,6
13,0,3.349999905,6.5
14,0,3.349999905,7
15,0,3.359999895,7.5
16,0,3.359999895,8
17,0,3.369999886,8.5
18,0,3.369999886,9
19,0,3.369999886,9.5
20,0,3.369999886,10
21,0,3.380000114,10.5
22,0,3.380000114,11
23,0,3.390000105,11.5
24,0,3.390000105,12
25,0,3.440000057,12.5
26,0,3.440000057,13
27,0,3.440000057,13.5
28,0,3.440000057,14
29,0,3.440000057,14.5
30,0,3.440000057,15
31,0,3.440000057,15.5
32,0,3.440000057,16
33,0,3.440000057,16.5
34,0,3.440000057,17
35,0,3.440000057,17.5
36,0,3.470000029,18
37,0,3.470000029,18.5
38,0,3.089999914,19
39,0,3.089999914,19.5
40,0,2.730000019,20
41,0,2.730000019,20.5
42,0,2.710000038,21
43,0,2.710000038,21.5
44,0,2.75,22
45,0,2.75,22.5
46,0,2.809999943,23
47,0,2.809999943,23.5
48,0,2.700000048,24
49,0,2.700000048,24.5
50,0,2.579999924,25
51,0,2.579999924,25.5
52,0,2.5,26
53,0,2.5,26.5
54,0,2.420000076,27
55,0,2.420000076,27.5
56,0,2.309999943,28
57,0,2.309999943,28.5
58,0,2.230000019,29
59,0,2.230000019,29.5
60,0,2.230000019,30
61,0,2.230000019,30.5
62,0,2.24000001,31
63,0,2.24000001,31.5
64,0,2.190000057,32
65,0,2.190000057,32.5
66,0,2.160000086,33
67,0,2.160000086,33.5
68,0,2.099999905,34
69,0,2.099999905,34.5
70,0,2.019999981,35
71,0,2.019999981,35.5
72,0,2.049999952,36
73,0,2.049999952,36.5
74,0,2.049999952,37
75,0,2.049999952,37.5
76,0,2.130000114,38
77,0,2.140000105,38.5
78,0,2.220000029,39
79,0,2.220000029,39.5
80,0,2.220000029,40
81,0,2.24000001,40.5
82,0,2.24000001,41
83,0,2.24000001,41.5
84,0,2.24000001,42
85,0,2.160000086,42.5
86,0,2.160000086,43
87,0,2.140000105,43.5
88,0,2.140000105,44
89,0,2.140000105,44.5
90,0,2.140000105,45
91,0,2.069999933,45.5
92,0,2.069999933,46
93,0,1.960000038,46.5
94,0,1.960000038,47
95,0,1.919999957,47.5
96,0,1.919999957,48
97,0,1.879999995,48.5
98,0,1.879999995,49
99,0,1.850000024,49.5
100,0,1.850000024,50
101,0,1.889999986,50.5
102,0,1.889999986,51
103,0,1.820000052,51.5
104,0,1.820000052,52
105,0,1.769999981,52.5
106,0,1.730000019,53
107,0,1.75999999,53.5
108,0,1.75999999,54
109,0,1.639999986,54.5
110,0,1.639999986,55
111,0,1.470000029,55.5
112,0,1.470000029,56
113,0,1.279999971,56.5
114,0,1.279999971,57
115,0,1.25,57.5
116,0,1.230000019,58
117,0,1.25,58.5
118,0,1.25,59
119,0,1.25,59.5
120,0,1.25,60
121,0,1.230000019,60.5
122,0,1.230000019,61
123,0,1.450000048,61.5
124,0,1.450000048,62
125,0,1.649999976,62.5
126,0,1.779999971,63
127,0,1.779999971,63.5
128,0,1.879999995,64
129,0,1.879999995,64.5
130,0,1.889999986,65
131,0,1.889999986,65.5
132,0,1.940000057,66
133,0,1.940000057,66.5
134,0,1.970000029,67
135,0,1.970000029,67.5
136,0,1.879999995,68
137,0,1.879999995,68.5
138,0,1.929999948,69
139,0,1.929999948,69.5
140,0,1.940000057,70
141,0,1.940000057,70.5
142,0,1.870000005,71
143,0,1.870000005,71.5
144,0,1.75,72
145,0,1.799999952,72.5
146,0,1.789999962,73
147,0,1.789999962,73.5
148,0,1.75,74
149,0,1.75,74.5
150,0,1.690000057,75
151,0,1.690000057,75.5
152,0,1.700000048,76
153,0,1.700000048,76.5
154,0,1.730000019,77
155,0,1.700000048,77.5
156,0,1.75999999,78
157,0,1.75999999,78.5
158,0,1.75999999,79
159,0,1.75999999,79.5
160,0,1.710000038,80
161,0,1.710000038,80.5
162,0,1.679999948,81
163,0,1.679999948,81.5
164,0,1.659999967,82
165,0,1.639999986,82.5
166,0,1.720000029,83
167,0,1.720000029,83.5
168,0,1.720000029,84
169,0,1.720000029,84.5
170,0,1.700000048,85
171,0,1.700000048,85.5
172,0,1.629999995,86
173,0,1.629999995,86.5
174,0,1.570000052,87
175,0,1.559999943,87.5
176,0,1.559999943,88
177,0,1.620000005,88.5
178,0,1.620000005,89
179,0,1.639999986,89.5
180,0,1.639999986,90
181,0,1.649999976,90.5
182,0,1.649999976,91
183,0,1.649999976,91.5
184,0,1.610000014,92
185,0,1.620000005,92.5
186,0,1.620000005,93
187,0,1.600000024,93.5
188,0,1.600000024,94
189,0,1.570000052,94.5
190,0,1.570000052,95
191,0,1.600000024,95.5
192,0,1.600000024,96
193,0,1.649999976,96.5
194,0,1.570000052,97
195,0,1.590000033,97.5
196,0,1.590000033,98
197,0,1.629999995,98.5
198,0,1.629999995,99
199,0,1.659999967,99.5
200,0,1.659999967,100
201,0,1.74000001,100.5
202,0,1.74000001,101
203,0,1.789999962,101.5
204,0,1.74000001,102
205,0,1.879999995,102.5
206,0,1.879999995,103
207,0,1.879999995,103.5
208,0,1.879999995,104
209,0,1.850000024,104.5
210,0,1.850000024,105
211,0,1.830000043,105.5
212,0,1.830000043,106
213,0,2.069999933,106.5
214,0,2.069999933,107
215,0,2.089999914,107.5
216,0,2.089999914,108
217,0,2.099999905,108.5
218,0,2.099999905,109
219,0,2.130000114,109.5
220,0,2.130000114,110
221,0,2.130000114,110.5
222,0,2.160000086,111
223,0,2.170000076,111.5
224,0,2.140000105,112
225,0,2.140000105,112.5
226,0,2.160000086,113
227,0,2.160000086,113.5
228,0,2.180000067,114
229,0,2.180000067,114.5
230,0,2.170000076,115
231,0,2.170000076,115.5
232,0,2.170000076,116
233,0,2.230000019,116.5
234,0,2.200000048,117
235,0,2.200000048,117.5
236,0,2.190000057,118
237,0,2.190000057,118.5
238,0,2.170000076,119
239,0,2.170000076,119.5
240,0,2.180000067,120
241,0,2.180000067,120.5
242,0,2.339999914,121
243,0,2.339999914,121.5
244,0,2.349999905,122
245,0,2.349999905,122.5
246,0,2.299999952,123
247,0,2.299999952,123.5
248,0,2.329999924,124
249,0,2.329999924,124.5
250,0,2.339999914,125
251,0,2.339999914,125.5
252,0,2.410000086,126
253,0,2.410000086,126.5
254,0,2.390000105,127
255,0,2.390000105,127.5
256,0,2.369999886,128
257,0,2.369999886,128.5
258,0,2.339999914,129
259,0,2.339999914,129.5
260,0,2.319999933,130
261,0,2.319999933,130.5
262,0,2.440000057,131
263,0,2.440000057,131.5
264,0,2.470000029,132
265,0,2.470000029,132.5
266,0,2.460000038,133
267,0,2.460000038,133.5
268,0,2.460000038,134
269,0,2.390000105,134.5
270,0,2.390000105,135
271,0,2.369999886,135.5
272,0,2.519999981,136
273,0,2.519999981,136.5
274,0,2.519999981,137
275,0,2.5,137.5
276,0,2.5,138
277,0,2.49000001,138.5
278,0,2.49000001,139
279,0,2.480000019,139.5
280,0,2.480000019,140
281,0,2.619999886,140.5
282,0,2.619999886,141
283,0,2.619999886,141.5
284,0,2.619999886,142
285,0,2.630000114,142.5
286,0,2.630000114,143
287,0,2.619999886,143.5
